,precipitacao,temperatura,ano
1987-01-01,0.23,29.42,1987
1987-01-02,0.12,28.89,1987
1987-01-03,0.97,29.0,1987
1987-01-04,6.46,28.05,1987
1987-01-05,3.76,26.74,1987
1987-01-06,0.72,27.61,1987
1987-01-07,0.75,27.88,1987
1987-01-08,0.58,28.25,1987
1987-01-09,0.34,28.45,1987
1987-01-10,0.06,28.63,1987
1987-01-11,0.23,28.58,1987
1987-01-12,0.03,27.31,1987
1987-01-13,0.0,28.07,1987
1987-01-14,0.03,28.19,1987
1987-01-15,0.1,28.78,1987
1987-01-16,0.79,28.83,1987
1987-01-17,0.73,28.88,1987
1987-01-18,0.37,28.67,1987
1987-01-19,2.16,28.04,1987
1987-01-20,6.37,27.07,1987
1987-01-21,0.61,28.38,1987
1987-01-22,0.21,28.83,1987
1987-01-23,0.29,29.1,1987
1987-01-24,0.01,29.54,1987
1987-01-25,0.05,29.36,1987
1987-01-26,0.02,29.02,1987
1987-01-27,0.0,28.78,1987
1987-01-28,0.11,28.25,1987
1987-01-29,0.22,29.34,1987
1987-01-30,0.32,29.03,1987
1987-01-31,0.56,29.1,1987
1987-02-01,0.02,29.23,1987
1987-02-02,0.07,29.2,1987
1987-02-03,0.02,29.78,1987
1987-02-04,0.79,29.77,1987
1987-02-05,2.68,29.57,1987
1987-02-06,1.19,29.36,1987
1987-02-07,8.06,27.75,1987
1987-02-08,11.01,27.46,1987
1987-02-09,9.14,26.84,1987
1987-02-10,5.99,27.03,1987
1987-02-11,5.29,26.95,1987
1987-02-12,13.94,25.82,1987
1987-02-13,3.89,26.88,1987
1987-02-14,2.76,27.5,1987
1987-02-15,4.01,27.32,1987
1987-02-16,1.54,27.23,1987
1987-02-17,0.61,27.38,1987
1987-02-18,1.15,27.93,1987
1987-02-19,0.88,27.87,1987
1987-02-20,0.18,28.65,1987
1987-02-21,2.35,28.29,1987
1987-02-22,2.26,27.65,1987
1987-02-23,0.74,27.83,1987
1987-02-24,0.05,27.56,1987
1987-02-25,0.0,29.0,1987
1987-02-26,0.1,29.35,1987
1987-02-27,0.16,29.49,1987
1987-02-28,0.44,28.85,1987
1987-03-01,0.9,29.57,1987
1987-03-02,4.35,28.35,1987
1987-03-03,1.32,28.1,1987
1987-03-04,4.81,28.06,1987
1987-03-05,5.27,27.75,1987
1987-03-06,1.8,28.13,1987
1987-03-07,3.06,28.33,1987
1987-03-08,3.99,28.38,1987
1987-03-09,7.35,27.8,1987
1987-03-10,10.02,27.69,1987
1987-03-11,9.5,26.8,1987
1987-03-12,12.31,26.32,1987
1987-03-13,10.84,26.43,1987
1987-03-14,11.93,25.84,1987
1987-03-15,7.66,26.02,1987
1987-03-16,7.87,26.43,1987
1987-03-17,6.91,26.57,1987
1987-03-18,9.52,26.5,1987
1987-03-19,9.02,26.25,1987
1987-03-20,7.21,26.25,1987
1987-03-21,8.91,26.61,1987
1987-03-22,4.36,26.89,1987
1987-03-23,9.36,26.46,1987
1987-03-24,8.85,26.72,1987
1987-03-25,13.66,26.43,1987
1987-03-26,12.72,26.77,1987
1987-03-27,19.05,25.69,1987
1987-03-28,16.12,25.75,1987
1987-03-29,6.64,25.94,1987
1987-03-30,4.24,26.21,1987
1987-03-31,5.96,25.73,1987
1987-04-01,3.15,26.37,1987
1987-04-02,2.04,26.44,1987
1987-04-03,5.01,26.82,1987
1987-04-04,0.95,26.76,1987
1987-04-05,1.24,26.79,1987
1987-04-06,1.42,26.18,1987
1987-04-07,2.66,26.97,1987
1987-04-08,3.46,27.03,1987
1987-04-09,5.23,26.75,1987
1987-04-10,5.32,26.47,1987
1987-04-11,1.26,26.58,1987
1987-04-12,1.87,26.43,1987
1987-04-13,0.32,26.33,1987
1987-04-14,0.87,25.51,1987
1987-04-15,1.31,26.43,1987
1987-04-16,1.22,26.68,1987
1987-04-17,3.12,26.87,1987
1987-04-18,0.38,26.85,1987
1987-04-19,0.48,27.3,1987
1987-04-20,0.96,27.69,1987
1987-04-21,3.7,27.51,1987
1987-04-22,4.03,27.69,1987
1987-04-23,5.1,27.36,1987
1987-04-24,3.36,27.3,1987
1987-04-25,3.82,26.8,1987
1987-04-26,2.36,27.03,1987
1987-04-27,1.4,27.51,1987
1987-04-28,1.17,27.81,1987
1987-04-29,0.23,27.97,1987
1987-04-30,0.24,27.97,1987
1987-05-01,1.01,28.2,1987
1987-05-02,2.13,28.01,1987
1987-05-03,2.89,27.12,1987
1987-05-04,2.64,27.78,1987
1987-05-05,1.37,27.95,1987
1987-05-06,0.46,27.76,1987
1987-05-07,0.45,27.69,1987
1987-05-08,0.25,27.71,1987
1987-05-09,0.05,28.14,1987
1987-05-10,0.6,28.11,1987
1987-05-11,0.43,27.86,1987
1987-05-12,0.16,27.93,1987
1987-05-13,0.05,28.09,1987
1987-05-14,0.04,27.63,1987
1987-05-15,0.12,27.88,1987
1987-05-16,0.04,28.2,1987
1987-05-17,0.08,27.82,1987
1987-05-18,0.0,28.36,1987
1987-05-19,0.04,28.65,1987
1987-05-20,0.04,29.06,1987
1987-05-21,0.09,29.09,1987
1987-05-22,0.03,28.78,1987
1987-05-23,0.05,28.53,1987
1987-05-24,0.12,28.55,1987
1987-05-25,0.08,28.68,1987
1987-05-26,0.1,28.41,1987
1987-05-27,1.28,28.37,1987
1987-05-28,0.22,28.58,1987
1987-05-29,0.21,28.54,1987
1987-05-30,0.05,28.94,1987
1987-05-31,2.08,28.55,1987
1987-06-01,0.52,28.47,1987
1987-06-02,0.26,28.6,1987
1987-06-03,0.71,28.0,1987
1987-06-04,0.22,27.91,1987
1987-06-05,0.44,27.53,1987
1987-06-06,4.55,26.7,1987
1987-06-07,1.96,27.21,1987
1987-06-08,0.79,27.25,1987
1987-06-09,3.13,27.2,1987
1987-06-10,3.43,26.89,1987
1987-06-11,0.31,26.52,1987
1987-06-12,7.0,25.91,1987
1987-06-13,1.77,26.84,1987
1987-06-14,1.83,26.73,1987
1987-06-15,1.9,26.65,1987
1987-06-16,0.12,27.3,1987
1987-06-17,4.04,26.72,1987
1987-06-18,7.85,25.95,1987
1987-06-19,2.29,25.97,1987
1987-06-20,0.4,26.08,1987
1987-06-21,0.04,26.16,1987
1987-06-22,0.11,26.7,1987
1987-06-23,0.12,26.6,1987
1987-06-24,0.09,26.54,1987
1987-06-25,0.12,26.41,1987
1987-06-26,0.18,26.49,1987
1987-06-27,0.35,26.23,1987
1987-06-28,1.0,26.22,1987
1987-06-29,2.56,25.27,1987
1987-06-30,0.41,25.92,1987
1987-07-01,0.19,26.28,1987
1987-07-02,0.48,26.52,1987
1987-07-03,0.49,26.96,1987
1987-07-04,1.14,26.79,1987
1987-07-05,1.55,26.74,1987
1987-07-06,0.45,26.49,1987
1987-07-07,0.15,26.3,1987
1987-07-08,2.96,25.64,1987
1987-07-09,4.91,25.73,1987
1987-07-10,2.27,25.8,1987
1987-07-11,0.38,26.15,1987
1987-07-12,0.18,26.19,1987
1987-07-13,0.03,26.05,1987
1987-07-14,0.36,26.49,1987
1987-07-15,0.16,26.18,1987
1987-07-16,0.39,25.87,1987
1987-07-17,0.3,26.28,1987
1987-07-18,0.65,26.33,1987
1987-07-19,0.54,26.27,1987
1987-07-20,0.16,26.14,1987
1987-07-21,0.09,26.28,1987
1987-07-22,0.04,26.69,1987
1987-07-23,0.04,26.76,1987
1987-07-24,0.0,26.2,1987
1987-07-25,0.07,26.79,1987
1987-07-26,0.13,26.71,1987
1987-07-27,0.36,26.89,1987
1987-07-28,1.29,26.65,1987
1987-07-29,0.91,26.84,1987
1987-07-30,0.11,26.67,1987
1987-07-31,0.02,26.46,1987
1987-08-01,0.01,26.79,1987
1987-08-02,0.06,27.33,1987
1987-08-03,0.06,27.48,1987
1987-08-04,0.0,26.8,1987
1987-08-05,0.02,26.64,1987
1987-08-06,0.07,26.91,1987
1987-08-07,0.01,27.3,1987
1987-08-08,0.02,27.07,1987
1987-08-09,0.06,27.05,1987
1987-08-10,0.02,27.66,1987
1987-08-11,0.03,27.36,1987
1987-08-12,0.05,26.77,1987
1987-08-13,0.13,26.94,1987
1987-08-14,0.06,27.24,1987
1987-08-15,0.24,27.12,1987
1987-08-16,0.37,26.59,1987
1987-08-17,0.46,27.62,1987
1987-08-18,0.48,27.88,1987
1987-08-19,0.0,27.92,1987
1987-08-20,0.01,27.95,1987
1987-08-21,0.03,28.0,1987
1987-08-22,0.03,28.35,1987
1987-08-23,0.3,28.46,1987
1987-08-24,0.2,27.8,1987
1987-08-25,0.01,27.56,1987
1987-08-26,0.01,27.39,1987
1987-08-27,0.01,27.65,1987
1987-08-28,0.02,27.97,1987
1987-08-29,0.0,27.99,1987
1987-08-30,0.01,27.62,1987
1987-08-31,0.0,27.82,1987
1987-09-01,0.0,28.19,1987
1987-09-02,0.02,28.26,1987
1987-09-03,0.01,28.16,1987
1987-09-04,0.01,28.11,1987
1987-09-05,0.02,27.68,1987
1987-09-06,0.02,27.84,1987
1987-09-07,0.01,28.32,1987
1987-09-08,0.0,28.35,1987
1987-09-09,0.0,27.64,1987
1987-09-10,0.0,27.71,1987
1987-09-11,0.0,28.03,1987
1987-09-12,0.0,28.53,1987
1987-09-13,0.07,28.33,1987
1987-09-14,0.03,28.34,1987
1987-09-15,0.02,28.31,1987
1987-09-16,0.01,28.87,1987
1987-09-17,0.0,28.79,1987
1987-09-18,0.01,29.0,1987
1987-09-19,0.0,28.74,1987
1987-09-20,0.03,28.57,1987
1987-09-21,0.01,28.34,1987
1987-09-22,0.03,28.33,1987
1987-09-23,0.0,28.85,1987
1987-09-24,0.01,28.75,1987
1987-09-25,0.01,28.7,1987
1987-09-26,0.01,28.79,1987
1987-09-27,0.02,28.07,1987
1987-09-28,0.05,28.3,1987
1987-09-29,0.03,28.66,1987
1987-09-30,0.03,28.56,1987
1987-10-01,0.03,28.51,1987
1987-10-02,0.01,28.93,1987
1987-10-03,0.01,29.24,1987
1987-10-04,0.01,29.25,1987
1987-10-05,0.07,28.66,1987
1987-10-06,0.24,28.7,1987
1987-10-07,0.03,28.8,1987
1987-10-08,0.0,28.66,1987
1987-10-09,0.01,29.19,1987
1987-10-10,0.01,29.27,1987
1987-10-11,0.0,29.01,1987
1987-10-12,0.03,29.11,1987
1987-10-13,0.01,28.86,1987
1987-10-14,0.0,29.1,1987
1987-10-15,0.01,29.04,1987
1987-10-16,0.01,28.31,1987
1987-10-17,0.01,28.45,1987
1987-10-18,0.0,29.14,1987
1987-10-19,0.01,29.11,1987
1987-10-20,0.0,29.27,1987
1987-10-21,0.0,28.86,1987
1987-10-22,0.0,28.65,1987
1987-10-23,0.02,28.81,1987
1987-10-24,0.0,28.8,1987
1987-10-25,0.0,29.08,1987
1987-10-26,0.0,29.52,1987
1987-10-27,0.0,29.68,1987
1987-10-28,0.0,29.62,1987
1987-10-29,0.0,29.62,1987
1987-10-30,0.0,29.63,1987
1987-10-31,0.01,29.71,1987
1987-11-01,0.0,29.81,1987
1987-11-02,0.0,29.61,1987
1987-11-03,0.0,29.3,1987
1987-11-04,0.0,29.87,1987
1987-11-05,0.0,29.91,1987
1987-11-06,0.0,29.78,1987
1987-11-07,0.0,29.53,1987
1987-11-08,0.0,28.96,1987
1987-11-09,0.01,28.79,1987
1987-11-10,0.0,29.18,1987
1987-11-11,0.0,29.94,1987
1987-11-12,0.0,29.54,1987
1987-11-13,0.01,29.4,1987
1987-11-14,0.06,29.61,1987
1987-11-15,0.01,29.57,1987
1987-11-16,0.01,29.2,1987
1987-11-17,0.01,29.21,1987
1987-11-18,0.01,29.41,1987
1987-11-19,0.0,29.16,1987
1987-11-20,0.01,29.22,1987
1987-11-21,0.02,29.26,1987
1987-11-22,0.0,29.83,1987
1987-11-23,0.0,29.42,1987
1987-11-24,0.03,29.75,1987
1987-11-25,0.1,30.3,1987
1987-11-26,0.35,29.99,1987
1987-11-27,0.34,29.94,1987
1987-11-28,0.02,29.99,1987
1987-11-29,0.0,30.2,1987
1987-11-30,0.0,29.85,1987
1987-12-01,0.01,29.36,1987
1987-12-02,0.02,29.74,1987
1987-12-03,0.0,29.31,1987
1987-12-04,0.0,29.33,1987
1987-12-05,0.0,29.48,1987
1987-12-06,0.0,29.56,1987
1987-12-07,0.0,29.33,1987
1987-12-08,0.0,29.71,1987
1987-12-09,0.0,29.67,1987
1987-12-10,0.0,29.36,1987
1987-12-11,0.01,30.02,1987
1987-12-12,0.0,30.43,1987
1987-12-13,0.0,30.25,1987
1987-12-14,0.0,29.87,1987
1987-12-15,0.01,30.21,1987
1987-12-16,0.03,29.82,1987
1987-12-17,0.0,28.66,1987
1987-12-18,0.01,30.02,1987
1987-12-19,0.02,30.29,1987
1987-12-20,0.01,30.26,1987
1987-12-21,0.01,29.9,1987
1987-12-22,0.0,29.69,1987
1987-12-23,0.01,30.44,1987
1987-12-24,0.0,30.7,1987
1987-12-25,0.0,30.81,1987
1987-12-26,0.0,30.44,1987
1987-12-27,0.0,30.45,1987
1987-12-28,0.0,30.2,1987
1987-12-29,0.01,30.11,1987
1987-12-30,0.0,30.47,1987
1987-12-31,1.03,30.52,1987
1988-01-01,1.61,30.16,1988
1988-01-02,0.25,29.98,1988
1988-01-03,0.23,30.05,1988
1988-01-04,0.12,30.1,1988
1988-01-05,0.19,29.87,1988
1988-01-06,0.16,30.05,1988
1988-01-07,0.27,29.71,1988
1988-01-08,0.2,29.94,1988
1988-01-09,1.06,29.23,1988
1988-01-10,0.96,29.32,1988
1988-01-11,2.22,29.17,1988
1988-01-12,5.34,28.55,1988
1988-01-13,1.29,29.41,1988
1988-01-14,0.21,29.4,1988
1988-01-15,0.06,30.01,1988
1988-01-16,0.7,29.45,1988
1988-01-17,0.2,28.49,1988
1988-01-18,0.35,29.51,1988
1988-01-19,1.61,29.89,1988
1988-01-20,0.93,29.47,1988
1988-01-21,1.86,29.38,1988
1988-01-22,0.83,29.2,1988
1988-01-23,0.18,28.8,1988
1988-01-24,1.61,28.75,1988
1988-01-25,2.54,29.61,1988
1988-01-26,0.66,28.96,1988
1988-01-27,0.31,29.36,1988
1988-01-28,0.94,29.91,1988
1988-01-29,0.34,30.02,1988
1988-01-30,0.27,30.39,1988
1988-01-31,0.0,30.18,1988
1988-02-01,0.01,30.63,1988
1988-02-02,0.14,30.76,1988
1988-02-03,0.24,30.6,1988
1988-02-04,1.77,29.83,1988
1988-02-05,1.06,29.95,1988
1988-02-06,2.38,29.56,1988
1988-02-07,0.01,29.77,1988
1988-02-08,0.01,29.35,1988
1988-02-09,0.02,29.73,1988
1988-02-10,0.05,29.98,1988
1988-02-11,0.78,30.4,1988
1988-02-12,2.08,30.48,1988
1988-02-13,24.32,28.05,1988
1988-02-14,14.68,27.43,1988
1988-02-15,3.66,27.78,1988
1988-02-16,10.15,27.57,1988
1988-02-17,4.93,27.79,1988
1988-02-18,6.61,27.62,1988
1988-02-19,0.85,28.35,1988
1988-02-20,1.23,28.21,1988
1988-02-21,2.33,28.65,1988
1988-02-22,2.67,28.65,1988
1988-02-23,3.73,28.12,1988
1988-02-24,5.62,27.72,1988
1988-02-25,4.29,27.75,1988
1988-02-26,1.37,28.15,1988
1988-02-27,0.31,29.05,1988
1988-02-28,1.54,28.36,1988
1988-02-29,4.11,27.69,1988
1988-03-01,10.12,26.87,1988
1988-03-02,8.64,25.92,1988
1988-03-03,4.04,27.38,1988
1988-03-04,3.01,27.77,1988
1988-03-05,4.21,28.16,1988
1988-03-06,1.84,28.64,1988
1988-03-07,0.94,28.65,1988
1988-03-08,2.07,28.81,1988
1988-03-09,8.92,28.62,1988
1988-03-10,9.22,27.61,1988
1988-03-11,9.57,26.97,1988
1988-03-12,7.27,27.71,1988
1988-03-13,16.91,27.42,1988
1988-03-14,12.94,26.93,1988
1988-03-15,6.92,27.34,1988
1988-03-16,2.72,27.33,1988
1988-03-17,0.89,27.57,1988
1988-03-18,2.65,27.68,1988
1988-03-19,10.19,27.16,1988
1988-03-20,5.84,27.14,1988
1988-03-21,12.69,26.63,1988
