Data;Estado;Nome;Capacidade (hm³);Cota (m);Volume Útil (hm³);Volume (%);precipitacao;temperatura;oni_total;oni_anomala
1987-01-01;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5234.0;193100.0;8137.0;0.23;29.42;27.76;1.23
1987-01-02;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5233.0;192900.0;8129.0;0.12;28.89;27.76;1.23
1987-01-03;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5233.0;192900.0;8129.0;0.97;29.0;27.76;1.23
1987-01-04;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5233.0;192900.0;8129.0;6.46;28.05;27.76;1.23
1987-01-05;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5232.0;192700.0;8120.0;3.76;26.74;27.76;1.23
1987-01-06;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5230.0;192400.0;8108.0;0.72;27.61;27.76;1.23
1987-01-07;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5229.0;192200.0;8099.0;0.75;27.88;27.76;1.23
1987-01-08;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5227.0;191900.0;8087.0;0.58;28.25;27.76;1.23
1987-01-09;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5226.0;191800.0;8082.0;0.34;28.45;27.76;1.23
1987-01-10;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5225.0;191600.0;8074.0;0.06;28.63;27.76;1.23
1987-01-11;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5224.0;191500.0;8070.0;0.23;28.58;27.76;1.23
1987-01-12;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5223.0;191300.0;8061.0;0.03;27.31;27.76;1.23
1987-01-13;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5221.0;191000.0;8049.0;0.0;28.07;27.76;1.23
1987-01-14;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5220.0;190900.0;8044.0;0.03;28.19;27.76;1.23
1987-01-15;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5218.0;190500.0;8028.0;0.1;28.78;27.76;1.23
1987-01-16;Rio Grande do Norte;ENG. ARMANDO RIBEIRO GONÇALVES;237307.0;5216.0;190200.0;8015.0;0.79;28.83;27.76;1.23
